Fila,Bytes,Tiempo(s),Tasa(kbps)
0,1280,0.023071,443.847
1,1280,0.023005,445.121
2,1280,0.023172,441.913
3,1280,0.022887,447.416
4,1280,0.023064,443.982
5,1280,0.022817,448.788
6,1280,0.023024,444.753
7,1280,0.031423,325.876
8,1280,0.02731,374.954
9,1280,0.023003,445.159
10,1280,0.022932,446.538
11,1280,0.023093,443.424
12,1280,0.027575,371.351
13,1280,0.023031,444.618
14,1280,0.023311,439.278
15,1280,0.027557,371.593
16,1280,0.027373,374.091
17,1280,0.023214,441.113
18,1280,0.023284,439.787
19,1280,0.023278,439.9
20,1280,0.023298,439.523
21,1280,0.023297,439.542
22,1280,0.023235,440.714
23,1280,0.023164,442.065
24,1280,0.02319,441.57
25,1280,0.023221,440.98
26,1280,0.023263,440.184
27,1280,0.023165,442.046
28,1280,0.022606,452.977
29,1280,0.023015,444.927
30,1280,0.023203,441.322
31,1280,0.03174,322.621
32,1280,0.023192,441.532
33,1280,0.023252,440.392
34,1280,0.023209,441.208
35,1280,0.023276,439.938
36,1280,0.027544,371.769
37,1280,0.027501,372.35
38,1280,0.023062,444.02
39,1280,0.027393,373.818
40,1280,0.023212,441.151
41,1280,0.02318,441.76
42,1280,0.023028,444.676
43,1280,0.022663,451.838
44,1280,0.022755,450.011
45,1280,0.022827,448.592
46,1280,0.031225,327.942
47,1280,0.031295,327.209
48,1280,0.022625,452.597
49,1280,0.022725,450.605
50,1280,0.023046,444.329
51,1280,0.022838,448.376
52,1280,0.023165,442.046
53,1280,0.023158,442.18
54,1280,0.023215,441.094
55,1280,0.023054,444.175
56,1280,0.027481,372.621
57,1280,0.022932,446.538
58,1280,0.023033,444.58
59,1280,0.023171,441.932
60,1280,0.027289,375.243
61,1280,0.02308,443.674
62,1280,0.031675,323.283
63,1280,0.023225,440.904
64,1280,0.023326,438.995
65,1280,0.023048,444.29
66,1280,0.022958,446.032
67,1280,0.02319,441.57
68,1280,0.027235,375.987
69,1280,0.022853,448.081
70,1280,0.023288,439.711
71,1280,0.022804,449.044
72,1280,0.022899,447.181
73,1280,0.023148,442.371
74,1280,0.023214,441.113
75,1280,0.027287,375.27
76,1280,0.023183,441.703
77,1280,0.023144,442.447
78,1280,0.023103,443.232
79,1280,0.023193,441.513
80,1280,0.023042,444.406
81,1280,0.023145,442.428
82,1280,0.022806,449.005
83,1280,0.027237,375.959
84,1280,0.022978,445.644
85,1280,0.022678,451.539
86,1280,0.022927,446.635
87,1280,0.022856,448.022
88,1280,0.023083,443.617
89,1280,0.02314,442.524
90,1280,0.022691,451.28
91,1280,0.027349,374.42
92,1280,0.03173,322.723
93,1280,0.023057,444.117
94,1280,0.023103,443.232
95,1280,0.027414,373.532
96,1280,0.022976,445.682
97,1280,0.023123,442.849
98,1280,0.023253,440.373
99,1280,0.023284,439.787
100,1280,0.023237,440.677
101,1280,0.023221,440.98
102,1280,0.023222,440.961
103,1280,0.023224,440.923
104,1280,0.023027,444.695
105,1280,0.027516,372.147
106,1280,0.023103,443.232
107,1280,0.023264,440.165
108,1280,0.022913,446.908
109,1280,0.031771,322.307
110,1280,0.022733,450.446
111,1280,0.022716,450.784
