Fila,Bytes,Tiempo(s),Tasa(kbps)
112,1280,0.022665,451.798
113,1280,0.023066,443.943
114,1280,0.023319,439.127
115,1280,0.023144,442.447
116,1280,0.023307,439.353
117,1280,0.02295,446.187
118,1280,0.027388,373.886
119,1280,0.02734,374.543
120,1280,0.027483,372.594
121,1280,0.023124,442.83
122,1280,0.02295,446.187
123,1280,0.022889,447.376
124,1280,0.022755,450.011
125,1280,0.022723,450.645
126,1280,0.026928,380.273
127,1280,0.022687,451.36
128,1280,0.022876,447.631
129,1280,0.022974,445.721
130,1280,0.023004,445.14
131,1280,0.023311,439.278
132,1280,0.022758,449.952
133,1280,0.022685,451.4
134,1280,0.02724,375.918
135,1280,0.022899,447.181
136,1280,0.023068,443.905
137,1280,0.027253,375.738
138,1280,0.022703,451.042
139,1280,0.022666,451.778
140,1280,0.023264,440.165
141,1280,0.023226,440.885
142,1280,0.023243,440.563
143,1280,0.022956,446.071
144,1280,0.023219,441.018
145,1280,0.031767,322.347
146,1280,0.02321,441.189
147,1280,0.023226,440.885
148,1280,0.023274,439.976
149,1280,0.023191,441.551
150,1280,0.027391,373.845
151,1280,0.027496,372.418
152,1280,0.02328,439.863
153,1280,0.02327,440.052
154,1280,0.023219,441.018
155,1280,0.02325,440.43
156,1280,0.023334,438.845
157,1280,0.023159,442.161
158,1280,0.023072,443.828
159,1280,0.023203,441.322
160,1280,0.023251,440.411
161,1280,0.027553,371.647
162,1280,0.023239,440.639
163,1280,0.02327,440.052
164,1280,0.031883,321.174
165,1280,0.02317,441.951
166,1280,0.023036,444.522
167,1280,0.027049,378.572
168,1280,0.02716,377.025
169,1280,0.023188,441.608
170,1280,0.022633,452.437
171,1280,0.022716,450.784
172,1280,0.027192,376.581
173,1280,0.022766,449.794
174,1280,0.026897,380.712
175,1280,0.022675,451.599
176,1280,0.022696,451.181
177,1280,0.022754,450.031
178,1280,0.022796,449.202
179,1280,0.022604,453.017
180,1280,0.022685,451.4
181,1280,0.026991,379.386
182,1280,0.022672,451.658
183,1280,0.022625,452.597
184,1280,0.022626,452.577
185,1280,0.022837,448.395
186,1280,0.022863,447.885
187,1280,0.022619,452.717
188,1280,0.022764,449.833
189,1280,0.023035,444.541
190,1280,0.022724,450.625
191,1280,0.022865,447.846
192,1280,0.022529,454.525
193,1280,0.022873,447.689
194,1280,0.023028,444.676
195,1280,0.023081,443.655
196,1280,0.022985,445.508
197,1280,0.022873,447.689
198,1280,0.022789,449.34
199,1280,0.022806,449.005
200,1280,0.022782,449.478
201,1280,0.02285,448.14
202,1280,0.022785,449.418
203,1280,0.023122,442.868
204,1280,0.022819,448.749
205,1280,0.022959,446.012
206,1280,0.022781,449.497
207,1280,0.022702,451.062
208,1280,0.027026,378.894
209,1280,0.022664,451.818
210,1280,0.022697,451.161
211,1280,0.022747,450.169
212,1280,0.022699,451.121
213,1280,0.022629,452.517
214,1280,0.027338,374.57
215,1280,0.022914,446.888
216,1280,0.035653,287.213
217,1280,0.022673,451.639
218,1280,0.022653,452.037
219,1280,0.022653,452.037
220,1280,0.022725,450.605
221,1280,0.026946,380.019
222,1280,0.022665,451.798
223,1280,0.022657,451.957
224,1280,0.026955,379.892
225,1280,0.022718,450.744
226,1280,0.022654,452.017
227,1280,0.022679,451.519
228,1280,0.022746,450.189
229,1280,0.022687,451.36
230,1280,0.022615,452.797
231,1280,0.022646,452.177
232,1280,0.026999,379.273
233,1280,0.027002,379.231
234,1280,0.026905,380.598
235,1280,0.0227,451.101
236,1280,0.022723,450.645
237,1280,0.026931,380.231
238,1280,0.022586,453.378
239,1280,0.02265,452.097
240,1280,0.022656,451.977
241,1280,0.022659,451.918
242,1280,0.022611,452.877
243,1280,0.022666,451.778
244,1280,0.022695,451.201
245,1280,0.026979,379.554
246,1280,0.022616,452.777
247,1280,0.022307,459.049
248,1280,0.023124,442.83
249,1280,0.02238,457.551
250,1280,0.026805,382.018
251,1280,0.022661,451.878
252,1280,0.022591,453.278
253,1280,0.02266,451.898
254,1280,0.026856,381.293
255,1280,0.022379,457.572
256,1280,0.023117,442.964
257,1280,0.02271,450.903
258,1280,0.022555,454.001
259,1280,0.022653,452.037
260,1280,0.022645,452.197
261,1280,0.026708,383.406
262,1280,0.022682,451.459
263,1280,0.026715,383.305
264,1280,0.026677,383.851
265,1280,0.022664,451.818
266,1280,0.026971,379.667
267,1280,0.026944,380.048
268,1280,0.02265,452.097
269,1280,0.022687,451.36
270,1280,0.022689,451.32
271,1280,0.026977,379.583
272,1280,0.022601,453.077
273,1280,0.022672,451.658
274,1280,0.022667,451.758
275,1280,0.026979,379.554
276,1280,0.022647,452.157
277,1280,0.026995,379.33
278,1280,0.022685,451.4
279,1280,0.022667,451.758
280,1280,0.022696,451.181
281,1280,0.022677,451.559
282,1280,0.022641,452.277
283,1280,0.026988,379.428
284,1280,0.022618,452.737
285,1280,0.026985,379.47
286,1280,0.027007,379.161
287,1280,0.022687,451.36
288,1280,0.022605,452.997
289,1280,0.026999,379.273
290,1280,0.022681,451.479
291,1280,0.022682,451.459
292,1280,0.02262,452.697
293,1280,0.022705,451.002
294,1280,0.022742,450.268
295,1280,0.022676,451.579
296,1280,0.02701,379.119
297,1280,0.026954,379.907
298,1280,0.022716,450.784
299,1280,0.0227,451.101
300,1280,0.022728,450.546
301,1280,0.02275,450.11
302,1280,0.022666,451.778
303,1280,0.022683,451.439
304,1280,0.022725,450.605
305,1280,0.022619,452.717
306,1280,0.022744,450.229
307,1280,0.022721,450.684
308,1280,0.022651,452.077
309,1280,0.027011,379.105
310,1280,0.022692,451.26
311,1280,0.022622,452.657
312,1280,0.022808,448.965
313,1280,0.022775,449.616
314,1280,0.022581,453.479
315,1280,0.026983,379.498
316,1280,0.022681,451.479
317,1280,0.022726,450.585
318,1280,0.026903,380.627
319,1280,0.02297,445.799
320,1280,0.022752,450.07
321,1280,0.022548,454.142
322,1280,0.027,379.259
323,1280,0.022667,451.758
324,1280,0.026999,379.273
325,1280,0.022676,451.579
326,1280,0.022604,453.017
327,1280,0.022674,451.619
328,1280,0.022654,452.017
329,1280,0.0227,451.101
330,1280,0.022602,453.057
331,1280,0.022639,452.317
332,1280,0.022875,447.65
333,1280,0.022672,451.658
334,1280,0.022711,450.883
335,1280,0.026952,379.935
336,1280,0.022918,446.81
337,1280,0.02293,446.577
338,1280,0.022723,450.645
339,1280,0.022581,453.479
340,1280,0.027007,379.161
341,1280,0.022807,448.985
342,1280,0.022687,451.36
343,1280,0.022579,453.519
344,1280,0.022706,450.982
345,1280,0.02266,451.898
346,1280,0.022677,451.559
347,1280,0.022688,451.34
348,1280,0.026984,379.484
349,1280,0.02699,379.4
350,1280,0.022713,450.843
351,1280,0.022672,451.658
352,1280,0.026973,379.639
353,1280,0.022702,451.062
354,1280,0.022624,452.617
355,1280,0.022821,448.71
356,1280,0.022629,452.517
357,1280,0.027001,379.245
358,1280,0.022865,447.846
359,1280,0.022702,451.062
360,1280,0.022605,452.997
361,1280,0.022831,448.513
362,1280,0.02278,449.517
363,1280,0.022764,449.833
364,1280,0.022551,454.082
365,1280,0.031322,326.927
366,1280,0.02697,379.681
367,1280,0.027019,378.993
368,1280,0.022791,449.3
369,1280,0.02268,451.499
370,1280,0.022695,451.201
371,1280,0.026944,380.048
372,1280,0.022583,453.438
373,1280,0.022928,446.615
374,1280,0.027057,378.46
375,1280,0.022675,451.599
376,1280,0.026992,379.372
377,1280,0.022651,452.077
378,1280,0.022694,451.221
379,1280,0.022735,450.407
380,1280,0.022674,451.619
381,1280,0.022861,447.924
382,1280,0.022897,447.22
383,1280,0.022686,451.38
384,1280,0.022753,450.051
385,1280,0.026909,380.542
386,1280,0.031326,326.885
387,1280,0.026964,379.766
388,1280,0.02275,450.11
389,1280,0.022588,453.338
390,1280,0.022638,452.337
391,1280,0.022761,449.892
392,1280,0.022708,450.942
393,1280,0.031303,327.125
394,1280,0.022808,448.965
395,1280,0.026958,379.85
396,1280,0.022707,450.962
397,1280,0.022642,452.257
398,1280,0.022713,450.843
399,1280,0.022723,450.645
400,1280,0.022707,450.962
401,1280,0.022597,453.157
402,1280,0.022934,446.499
403,1280,0.022845,448.238
404,1280,0.022761,449.892
405,1280,0.022693,451.24
406,1280,0.022769,449.734
407,1280,0.027266,375.559
408,1280,0.02313,442.715
409,1280,0.0228,449.123
410,1280,0.031704,322.988
411,1280,0.023033,444.58
412,1280,0.023071,443.847
413,1280,0.022854,448.062
414,1280,0.023,445.217
415,1280,0.027262,375.614
416,1280,0.022876,447.631
417,1280,0.031311,327.042
418,1280,0.022595,453.198
419,1280,0.027134,377.386
420,1280,0.022702,451.062
421,1280,0.022668,451.738
422,1280,0.022643,452.237
423,1280,0.0229,447.162
424,1280,0.03148,325.286
425,1280,0.022699,451.121
426,1280,0.022592,453.258
427,1280,0.02274,450.308
428,1280,0.022771,449.695
429,1280,0.022705,451.002
430,1280,0.022617,452.757
431,1280,0.022683,451.439
432,1280,0.022655,451.997
433,1280,0.022659,451.918
434,1280,0.022743,450.248
435,1280,0.022632,452.457
436,1280,0.022704,451.022
437,1280,0.022807,448.985
438,1280,0.02698,379.54
439,1280,0.02699,379.4
440,1280,0.02694,380.104
441,1280,0.031384,326.281
442,1280,0.022682,451.459
443,1280,0.022658,451.938
444,1280,0.023211,441.17
445,1280,0.02705,378.558
446,1280,0.022803,449.064
447,1280,0.026922,380.358
448,1280,0.022686,451.38
449,1280,0.027008,379.147
450,1280,0.022775,449.616
451,1280,0.022679,451.519
452,1280,0.023012,444.985
453,1280,0.022699,451.121
454,1280,0.022723,450.645
455,1280,0.026885,380.882
456,1280,0.022972,445.76
457,1280,0.023007,445.082
458,1280,0.022939,446.401
459,1280,0.022593,453.238
460,1280,0.022727,450.565
461,1280,0.022663,451.838
462,1280,0.02693,380.245
463,1280,0.022628,452.537
464,1280,0.022672,451.658
465,1280,0.023215,441.094
466,1280,0.022761,449.892
467,1280,0.022653,452.037
468,1280,0.022583,453.438
469,1280,0.022662,451.858
470,1280,0.027011,379.105
471,1280,0.022695,451.201
472,1280,0.022635,452.397
473,1280,0.022682,451.459
474,1280,0.022728,450.546
475,1280,0.02696,379.822
476,1280,0.022693,451.24
477,1280,0.022638,452.337
478,1280,0.022694,451.221
479,1280,0.0228,449.123
480,1280,0.027088,378.027
481,1280,0.026903,380.627
482,1280,0.022806,449.005
483,1280,0.02284,448.336
484,1280,0.022689,451.32
485,1280,0.022758,449.952
486,1280,0.023119,442.926
487,1280,0.022855,448.042
488,1280,0.027102,377.832
489,1280,0.022636,452.377
490,1280,0.022683,451.439
491,1280,0.022786,449.399
492,1280,0.022763,449.853
493,1280,0.022687,451.36
494,1280,0.022681,451.479
495,1280,0.022904,447.083
496,1280,0.023187,441.627
497,1280,0.027145,377.233
498,1280,0.022856,448.022
499,1280,0.022657,451.957
500,1280,0.022686,451.38
501,1280,0.022665,451.798
502,1280,0.022602,453.057
503,1280,0.022684,451.42
504,1280,0.026982,379.512
505,1280,0.022767,449.774
506,1280,0.022579,453.519
507,1280,0.022839,448.356
508,1280,0.026957,379.864
509,1280,0.022642,452.257
510,1280,0.022862,447.905
511,1280,0.022622,452.657
512,1280,0.022682,451.459
513,1280,0.022619,452.717
514,1280,0.027084,378.083
515,1280,0.026907,380.57
516,1280,0.022826,448.611
517,1280,0.022736,450.387
518,1280,0.022852,448.101
519,1280,0.022697,451.161
520,1280,0.022951,446.168
521,1280,0.023034,444.56
522,1280,0.022828,448.572
523,1280,0.02268,451.499
524,1280,0.022687,451.36
525,1280,0.035543,288.102
526,1280,0.022673,451.639
527,1280,0.02284,448.336
528,1280,0.027154,377.108
529,1280,0.022855,448.042
530,1280,0.022795,449.221
531,1280,0.022602,453.057
532,1280,0.022662,451.858
533,1280,0.022664,451.818
534,1280,0.022674,451.619
535,1280,0.022663,451.838
536,1280,0.022809,448.946
537,1280,0.022798,449.162
538,1280,0.02265,452.097
539,1280,0.022676,451.579
540,1280,0.02707,378.279
541,1280,0.022683,451.439
542,1280,0.022679,451.519
543,1280,0.022701,451.081
544,1280,0.022619,452.717
545,1280,0.026979,379.554
546,1280,0.022638,452.337
547,1280,0.022657,451.957
548,1280,0.022616,452.777
549,1280,0.02272,450.704
550,1280,0.026978,379.569
551,1280,0.022736,450.387
552,1280,0.022592,453.258
553,1280,0.022626,452.577
554,1280,0.022665,451.798
555,1280,0.022664,451.818
556,1280,0.022634,452.417
557,1280,0.022626,452.577
558,1280,0.02273,450.506
559,1280,0.022656,451.977
560,1280,0.022637,452.357
561,1280,0.022581,453.479
562,1280,0.022642,452.257
563,1280,0.022719,450.724
564,1280,0.022654,452.017
565,1280,0.027016,379.035
566,1280,0.022659,451.918
567,1280,0.026951,379.949
568,1280,0.022722,450.665
569,1280,0.022672,451.658
570,1280,0.02268,451.499
571,1280,0.022697,451.161
572,1280,0.022677,451.559
573,1280,0.022639,452.317
574,1280,0.022574,453.619
575,1280,0.022663,451.838
576,1280,0.022981,445.585
577,1280,0.022629,452.517
578,1280,0.022606,452.977
579,1280,0.022658,451.938
580,1280,0.023033,444.58
581,1280,0.023189,441.589
582,1280,0.02304,444.444
583,1280,0.022992,445.372
584,1280,0.02731,374.954
585,1280,0.022823,448.67
586,1280,0.022937,446.44
587,1280,0.022675,451.599
588,1280,0.022855,448.042
589,1280,0.027454,372.988
590,1280,0.023162,442.103
591,1280,0.022966,445.877
592,1280,0.02314,442.524
593,1280,0.022873,447.689
594,1280,0.022995,445.314
595,1280,0.022872,447.709
596,1280,0.022946,446.265
597,1280,0.023009,445.043
598,1280,0.031573,324.328
599,1280,0.022673,451.639
600,1280,0.022671,451.678
601,1280,0.027096,377.916
602,1280,0.022673,451.639
603,1280,0.022661,451.878
604,1280,0.022746,450.189
605,1280,0.022687,451.36
606,1280,0.026954,379.907
607,1280,0.022666,451.778
608,1280,0.026912,380.499
609,1280,0.022625,452.597
610,1280,0.022786,449.399
611,1280,0.022705,451.002
612,1280,0.02304,444.444
613,1280,0.023007,445.082
614,1280,0.022901,447.142
615,1280,0.023039,444.464
616,1280,0.022924,446.693
617,1280,0.023141,442.505
618,1280,0.022851,448.12
619,1280,0.02315,442.333
620,1280,0.02293,446.577
621,1280,0.026992,379.372
622,1280,0.022647,452.157
623,1280,0.026982,379.512
624,1280,0.022718,450.744
625,1280,0.022794,449.241
626,1280,0.022689,451.32
627,1280,0.02698,379.54
628,1280,0.022682,451.459
629,1280,0.0226,453.097
630,1280,0.022662,451.858
631,1280,0.022655,451.997
632,1280,0.022655,451.997
633,1280,0.022607,452.957
634,1280,0.022653,452.037
635,1280,0.022711,450.883
636,1280,0.027026,378.894
637,1280,0.022705,451.002
638,1280,0.022686,451.38
639,1280,0.022723,450.645
640,1280,0.022893,447.298
641,1280,0.022733,450.446
642,1280,0.022767,449.774
643,1280,0.027224,376.139
644,1280,0.022727,450.565
645,1280,0.022768,449.754
646,1280,0.022605,452.997
647,1280,0.022682,451.459
648,1280,0.026982,379.512
649,1280,0.027019,378.993
650,1280,0.022936,446.46
651,1280,0.022711,450.883
652,1280,0.02275,450.11
653,1280,0.022677,451.559
654,1280,0.022659,451.918
655,1280,0.022693,451.24
656,1280,0.022659,451.918
657,1280,0.022707,450.962
658,1280,0.031326,326.885
659,1280,0.02272,450.704
660,1280,0.02279,449.32
661,1280,0.022677,451.559
662,1280,0.022673,451.639
663,1280,0.022603,453.037
664,1280,0.022659,451.918
665,1280,0.022664,451.818
666,1280,0.027056,378.474
667,1280,0.026879,380.967
668,1280,0.022701,451.081
669,1280,0.022648,452.137
670,1280,0.022632,452.457
671,1280,0.022602,453.057
672,1280,0.022706,450.982
673,1280,0.023025,444.734
674,1280,0.023106,443.175
675,1280,0.022681,451.479
676,1280,0.022922,446.732
677,1280,0.022905,447.064
678,1280,0.022664,451.818
679,1280,0.022833,448.474
680,1280,0.022616,452.777
681,1280,0.022707,450.962
682,1280,0.022648,452.137
683,1280,0.027065,378.348
684,1280,0.027072,378.251
685,1280,0.022729,450.526
686,1280,0.022871,447.729
687,1280,0.027106,377.776
688,1280,0.022783,449.458
689,1280,0.022834,448.454
690,1280,0.022658,451.938
691,1280,0.022742,450.268
692,1280,0.022915,446.869
693,1280,0.022794,449.241
694,1280,0.027145,377.233
695,1280,0.04,256
696,1280,0.022849,448.16
697,1280,0.022993,445.353
698,1280,0.031397,326.146
699,1280,0.022678,451.539
700,1280,0.022752,450.07
701,1280,0.022661,451.878
702,1280,0.022716,450.784
703,1280,0.022703,451.042
704,1280,0.022694,451.221
705,1280,0.022619,452.717
706,1280,0.022826,448.611
707,1280,0.022818,448.769
708,1280,0.026956,379.878
709,1280,0.022744,450.229
710,1280,0.02263,452.497
711,1280,0.022764,449.833
712,1280,0.022627,452.557
713,1280,0.022654,452.017
714,1280,0.022698,451.141
715,1280,0.022654,452.017
716,1280,0.022666,451.778
717,1280,0.022632,452.457
718,1280,0.022791,449.3
719,1280,0.02282,448.729
